support,itemsets
0.36996971008221546,"frozenset({'Tornado', 'Skeletons'})"
0.2462137602769364,"frozenset({'Skeletons', 'Valkyrie'})"
0.1479878840328862,"frozenset({'Skeletons', 'Wall Breakers'})"
0.12202509736045002,"frozenset({'Skeletons', 'X-Bow'})"
0.2176546949372566,"frozenset({'Skeletons', 'Zap'})"
0.1181306793595846,"frozenset({'Tornado', 'Sparky'})"
0.13846819558632625,"frozenset({'The Log', 'Tesla'})"
0.10341843357853743,"frozenset({'X-Bow', 'Tesla'})"
0.3894418000865426,"frozenset({'Tornado', 'The Log'})"
0.24664647338814366,"frozenset({'The Log', 'Valkyrie'})"
0.13500649069666812,"frozenset({'The Log', 'Wall Breakers'})"
0.12072695802682822,"frozenset({'The Log', 'X-Bow'})"
0.2120294244915621,"frozenset({'The Log', 'Zap'})"
0.27563825183903073,"frozenset({'Tornado', 'Valkyrie'})"
0.1237559498052791,"frozenset({'Tornado', 'Wall Breakers'})"
0.26698398961488534,"frozenset({'Tornado', 'Zap'})"
0.1479878840328862,"frozenset({'Valkyrie', 'Wall Breakers'})"
0.18693206404154045,"frozenset({'Valkyrie', 'Zap'})"
0.17524881003894419,"frozenset({'Zap', 'Wall Breakers'})"
0.13717005625270445,"frozenset({'Barbarian Barrel', 'Executioner', 'Baby Dragon'})"
0.12029424491562095,"frozenset({'Barbarian Barrel', 'Night Witch', 'Baby Dragon'})"
0.16745997403721333,"frozenset({'Barbarian Barrel', 'Tornado', 'Baby Dragon'})"
0.1081782778018174,"frozenset({'Executioner', 'Graveyard', 'Baby Dragon'})"
0.10298572046733016,"frozenset({'Lightning', 'Executioner', 'Baby Dragon'})"
0.1523150151449589,"frozenset({'Executioner', 'Night Witch', 'Baby Dragon'})"
0.10731285157940286,"frozenset({'Executioner', 'The Log', 'Baby Dragon'})"
0.22717438338381654,"frozenset({'Tornado', 'Executioner', 'Baby Dragon'})"
0.10904370402423194,"frozenset({'Tornado', 'Freeze', 'Baby Dragon'})"
0.11423626135871917,"frozenset({'Golem', 'Night Witch', 'Baby Dragon'})"
0.11163998269147556,"frozenset({'Tornado', 'Golem', 'Baby Dragon'})"
0.1280830809173518,"frozenset({'Tornado', 'Graveyard', 'Baby Dragon'})"
0.11639982691475552,"frozenset({'Lightning', 'Night Witch', 'Baby Dragon'})"
0.12289052358286456,"frozenset({'Lightning', 'Tornado', 'Baby Dragon'})"
0.18303764604067504,"frozenset({'Tornado', 'Night Witch', 'Baby Dragon'})"
0.10428385980095196,"frozenset({'Tornado', 'Poison', 'Baby Dragon'})"
0.10428385980095196,"frozenset({'Tornado', 'Skeletons', 'Baby Dragon'})"
0.13197749891821722,"frozenset({'Tornado', 'The Log', 'Baby Dragon'})"
0.11899610558199913,"frozenset({'Electro Wizard', 'Bandit', 'P.E.K.K.A'})"
0.1038511466897447,"frozenset({'Poison', 'Electro Wizard', 'Bandit'})"
0.11726525313717005,"frozenset({'Electro Wizard', 'Bandit', 'Zap'})"
0.10125486802250108,"frozenset({'Bandit', 'Mega Knight', 'Zap'})"
0.10125486802250108,"frozenset({'Bandit', 'Miner', 'Zap'})"
0.15404586758978797,"frozenset({'Barbarian Barrel', 'Executioner', 'Night Witch'})"
0.2107312851579403,"frozenset({'Barbarian Barrel', 'Executioner', 'Tornado'})"
0.11120726958026828,"frozenset({'Lightning', 'Tornado', 'Barbarian Barrel'})"
0.1696235395932497,"frozenset({'Barbarian Barrel', 'Tornado', 'Night Witch'})"
0.10688013846819559,"frozenset({'Barbarian Barrel', 'Poison', 'Tornado'})"
