antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bomb Tower'}),frozenset({'Valkyrie'}),0.1752488100389441,0.3942016443098226,0.1393336218087408,0.795061728395062,2.0168909487606896,1.0,0.07025025272804929,2.956004024753278,0.6113205764079437,0.323943661971831,0.6617054673721344,0.5742597335718449
frozenset({'Bomb Tower'}),frozenset({'Wall Breakers'}),0.1752488100389441,0.24881003894418,0.1168325400259627,0.6666666666666665,2.679420289855072,1.0,0.07322887677525182,2.253569883167459,0.7599685204616997,0.38028169014084484,0.5562596006144391,0.5681159420289853
frozenset({'P.E.K.K.A'}),frozenset({'Electro Wizard'}),0.2094331458243185,0.298572046733016,0.1479878840328862,0.7066115702479339,2.3666367229608336,1.0,0.08545700103038523,2.390782601276199,0.7304372041214146,0.4110576923076923,0.5817269209395282,0.6011318720804887
frozenset({'Electro Wizard'}),frozenset({'Poison'}),0.298572046733016,0.3734314149718736,0.1800086542622241,0.6028985507246375,1.6144826775488268,1.0,0.06851247237966555,1.5778551958737481,0.5426167370568973,0.3658751099384344,0.36622828088718046,0.5424689740876953
frozenset({'Electro Wizard'}),frozenset({'Tornado'}),0.298572046733016,0.6603202077022934,0.1549112938122025,0.5188405797101449,0.7857408779227685,1.0,-0.042241862100641486,0.7059610141127034,-0.2799310105221363,0.19268030139935413,-0.41650881565586656,0.37672042091667135
frozenset({'Electro Wizard'}),frozenset({'Zap'}),0.298572046733016,0.4859368238857637,0.1752488100389441,0.5869565217391302,1.2078864841844434,1.0,0.03016165794843048,1.2445740053292027,0.24536751433728554,0.2876420454545453,0.19651222368613627,0.4737988307716131
frozenset({'Elixir Golem'}),frozenset({'Executioner'}),0.2427520553872782,0.6101254868022501,0.2098658589355257,0.8645276292335116,1.4169669157153513,1.0,0.06175664297011582,2.877889498736022,0.38860088365243,0.32637954239569306,0.6525231422404497,0.6042496302195927
frozenset({'Elixir Golem'}),frozenset({'Magic Archer'}),0.2427520553872782,0.38035482475119,0.1315447858070099,0.5418894830659535,1.4246946477422282,1.0,0.039212870322190535,1.3526106743758066,0.3936560150375936,0.26760563380281677,0.26068896324400737,0.44386851855231685
frozenset({'Elixir Golem'}),frozenset({'Night Witch'}),0.2427520553872782,0.398096062310688,0.2198182604932929,0.9055258467023172,2.2746415562272335,1.0,0.12317962312579141,6.371096397051012,0.7400089988751406,0.5220966084275435,0.843041144305575,0.7288498798728977
frozenset({'Night Witch'}),frozenset({'Elixir Golem'}),0.398096062310688,0.2427520553872782,0.2198182604932929,0.5521739130434782,2.274641556227234,1.0,0.12317962312579141,1.6909420122419998,0.930996224321708,0.5220966084275435,0.40861366459627324,0.7288498798728977
frozenset({'Elixir Golem'}),frozenset({'Rocket'}),0.2427520553872782,0.3089571614019905,0.1293812202509736,0.5329768270944741,1.7250832596853358,1.0,0.05438123429402135,1.479675696387341,0.5550597228858098,0.30635245901639346,0.3241762350753474,0.4758721670486376
frozenset({'Elixir Golem'}),frozenset({'Skeletons'}),0.2427520553872782,0.5097360450021635,0.1709216789268715,0.7040998217468807,1.3813027912198994,1.0,0.04718220629761416,1.656855896107147,0.364538155515371,0.2938988095238096,0.3964472092295157,0.5197069567138478
frozenset({'Elixir Golem'}),frozenset({'The Log'}),0.2427520553872782,0.5668541756815232,0.1769796624837732,0.729055258467023,1.2861425208528932,1.0,0.039374646232222144,1.5986500489649036,0.29380230527418755,0.2797537619699041,0.37447223008720293,0.520634499462519
frozenset({'Elixir Golem'}),frozenset({'Tornado'}),0.2427520553872782,0.6603202077022934,0.2228472522717438,0.9180035650623886,1.3902399992524115,1.0,0.06255316463825761,4.142616597369855,0.3706840499306517,0.32760814249363857,0.7586066737059617,0.6277435911812598
frozenset({'Freeze'}),frozenset({'Executioner'}),0.2276070964950238,0.6101254868022501,0.1596711380354824,0.7015209125475282,1.1497977509910198,1.0,0.02080224748680931,1.3062037830701672,0.16867299765434593,0.23548181238034446,0.23442267358195093,0.4816115201035513
frozenset({'Golem'}),frozenset({'Executioner'}),0.1449588922544353,0.6101254868022501,0.1159671138035482,0.7999999999999996,1.3112056737588647,1.0,0.02752399910049594,1.9493725659887455,0.27758097165991874,0.1814488828706837,0.48701442841287357,0.49503546099290757
frozenset({'Graveyard'}),frozenset({'Executioner'}),0.2540025962786672,0.6101254868022501,0.1774123755949805,0.6984667802385007,1.1447920064760109,1.0,0.022438917891423243,1.2929736680625938,0.16954331956312582,0.25834908632640197,0.226589044540705,0.49462346104123617
frozenset({'Ice Spirit'}),frozenset({'Executioner'}),0.2466464733881436,0.6101254868022501,0.1449588922544353,0.5877192982456142,0.963276098046535,1.0,-0.005526407389564031,0.9456530745647554,-0.048168094655242445,0.20364741641337386,-0.057470257219073874,0.4126539753639419
frozenset({'Ice Wizard'}),frozenset({'Executioner'}),0.1821722198182604,0.6101254868022501,0.1090437040242319,0.5985748218527317,0.9810683782281298,1.0,-0.0021042102742307445,0.9712258583210223,-0.023051456561603675,0.1595946801773274,-0.029626622306700347,0.3886491130540254
frozenset({'Lightning'}),frozenset({'Executioner'}),0.2444829078321073,0.6101254868022501,0.1648636953699697,0.6743362831858407,1.1052419506684241,1.0,0.015698442214075597,1.1971690215039603,0.12603385916966572,0.23902132998745293,0.1646960604245038,0.47227452457164376
frozenset({'Lumberjack'}),frozenset({'Executioner'}),0.1804413673734314,0.6101254868022501,0.1008221549112938,0.5587529976019184,0.9158001258567614,1.0,-0.009269722196684677,0.8835743043666396,-0.10086815848935123,0.14617314930991215,-0.13176672868142783,0.3620006122761365
frozenset({'Magic Archer'}),frozenset({'Executioner'}),0.38035482475119,0.6101254868022501,0.2185201211596711,0.5745164960182023,0.9416366115589118,1.0,-0.013544051449233208,0.9163093505369573,-0.0909308040905351,0.2830717488789237,-0.09133449245497716,0.46633626219349833
frozenset({'Mega Knight'}),frozenset({'Executioner'}),0.2868887927304197,0.6101254868022501,0.1800086542622241,0.6274509803921569,1.0283966068696981,1.0,0.004970489939466971,1.0465052722676444,0.038721177184466,0.2510561255280627,0.04443864116123698,0.4612432206925323
frozenset({'Miner'}),frozenset({'Executioner'}),0.3989614885331025,0.6101254868022501,0.2315015144958892,0.5802603036876356,0.9510507530653375,1.0,-0.011915057910720256,0.9288483234323655,-0.0788782150604274,0.29771841958820255,-0.07660204015302344,0.4798464639005554
frozenset({'Executioner'}),frozenset({'Night Witch'}),0.6101254868022501,0.398096062310688,0.3150151449588922,0.5163120567375886,1.2969534381745298,1.0,0.07212659114752482,1.244405501674384,0.587271773731263,0.4544319600499376,0.19640342424196067,0.6538082022818377
frozenset({'Night Witch'}),frozenset({'Executioner'}),0.398096062310688,0.6101254868022501,0.3150151449588922,0.7913043478260868,1.2969534381745296,1.0,0.07212659114752482,1.8681487090725506,0.38039674200709417,0.4544319600499376,0.4647107079090862,0.6538082022818377
frozenset({'Poison'}),frozenset({'Executioner'}),0.3734314149718736,0.6101254868022501,0.2154911293812202,0.5770567786790266,0.9458001528561919,1.0,-0.012348894465747245,0.9218128901086524,-0.08379581630786131,0.2805633802816901,-0.08481885069119809,0.46512413402036434
frozenset({'Rocket'}),frozenset({'Executioner'}),0.3089571614019905,0.6101254868022501,0.2241453916053656,0.7254901960784312,1.1890835766930883,1.0,0.035642753103934804,1.420257155220374,0.23011051126267137,0.32254047322540463,0.29590215664512165,0.546433041301627
frozenset({'Royal Giant'}),frozenset({'Executioner'}),0.1194288186932064,0.6101254868022501,0.101254868022501,0.8478260869565211,1.3895929694727094,1.0,0.028388301879090777,2.562032515299488,0.31838971838971775,0.16115702479338825,0.6096848911837072,0.5068917668825158
frozenset({'Executioner'}),frozenset({'Skeletons'}),0.6101254868022501,0.5097360450021635,0.3431414971873647,0.5624113475177304,1.1033383905886884,1.0,0.032138544589766005,1.1203762991036454,0.24023048511321973,0.4417827298050138,0.10744273972945717,0.6177931100916325
frozenset({'Skeletons'}),frozenset({'Executioner'}),0.5097360450021635,0.6101254868022501,0.3431414971873647,0.6731748726655347,1.1033383905886884,1.0,0.032138544589766005,1.19291474427779,0.19103942373081287,0.4417827298050138,0.1617171262264713,0.6177931100916325
frozenset({'Sparky'}),frozenset({'Executioner'}),0.1644309822587624,0.6101254868022501,0.1168325400259627,0.7105263157894733,1.164557670772676,1.0,0.01650900692996314,1.346839227410407,0.16911214684389156,0.17763157894736828,0.2575208832291597,0.4510078387458004
frozenset({'Executioner'}),frozenset({'The Log'}),0.6101254868022501,0.5668541756815232,0.3504976200778883,0.5744680851063829,1.0134318661685884,1.0,0.00464544019431079,1.0178926871484204,0.033995149422452034,0.4240837696335077,0.017578166514336507,0.5963943478967029
frozenset({'The Log'}),frozenset({'Executioner'}),0.5668541756815232,0.6101254868022501,0.3504976200778883,0.6183206106870228,1.0134318661685884,1.0,0.00464544019431079,1.0214712245781046,0.030599030599030255,0.4240837696335077,0.0210199015512872,0.5963943478967029
frozenset({'Executioner'}),frozenset({'Tornado'}),0.6101254868022501,0.6603202077022934,0.5543054954565123,0.9085106382978724,1.3758637517079837,1.0,0.15142730728678766,3.7127791251144693,0.7006968577718745,0.7740181268882175,0.7306599810272396,0.8739800897911381
frozenset({'Tornado'}),frozenset({'Executioner'}),0.6603202077022934,0.6101254868022501,0.5543054954565123,0.8394495412844036,1.3758637517079835,1.0,0.15142730728678766,2.428361253631699,0.8042393233789286,0.7740181268882175,0.5881996558360231,0.8739800897911381
frozenset({'Valkyrie'}),frozenset({'Executioner'}),0.3942016443098226,0.6101254868022501,0.2388576373864128,0.605927552140505,0.9931195553168135,1.0,-0.0016548327463651313,0.9893473022928975,-0.01130702447936248,0.3120407009609949,-0.010767399559703624,0.4987084569213163
frozenset({'Wall Breakers'}),frozenset({'Executioner'}),0.24881003894418,0.6101254868022501,0.1306793595845954,0.5252173913043477,0.8608350292938636,1.0,-0.021125986547509218,0.8211642677241984,-0.1770962172343431,0.1794414735591206,-0.21778313950682832,0.36970089423373415
frozenset({'Zap'}),frozenset({'Executioner'}),0.4859368238857637,0.6101254868022501,0.2682821289485071,0.5520926090828139,0.9048837018371509,1.0,-0.028200312279933748,0.8704355433818551,-0.16976453216407233,0.3240982749607945,-0.14885014473875371,0.4959044605697757
frozenset({'Fireball'}),frozenset({'Skeletons'}),0.1804413673734314,0.5097360450021635,0.1159671138035482,0.6426858513189446,1.2608208848880145,1.0,0.023989644843832855,1.3720810015711253,0.25241138552223025,0.20195930670685747,0.27118005507332843,0.43509504790055886
frozenset({'Fireball'}),frozenset({'The Log'}),0.1804413673734314,0.5668541756815232,0.1414971873647771,0.7841726618705034,1.3833763523532314,1.0,0.03921324480346375,2.0069089860089404,0.33814653710897735,0.23357142857142846,0.5017213002824509,0.5168954912405952
frozenset({'Freeze'}),frozenset({'Graveyard'}),0.2276070964950238,0.2540025962786672,0.1523150151449589,0.6692015209125476,2.634624727136112,1.0,0.09450222170377372,2.255141576766788,0.8032690348866821,0.4625492772667544,0.5565688601095693,0.6344304027049962
frozenset({'Graveyard'}),frozenset({'Freeze'}),0.2540025962786672,0.2276070964950238,0.1523150151449589,0.5996592844974448,2.634624727136112,1.0,0.09450222170377372,1.9293388696060474,0.8316909670955495,0.4625492772667544,0.4816877347191008,0.6344304027049962
frozenset({'Freeze'}),frozenset({'Tornado'}),0.2276070964950238,0.6603202077022934,0.1791432280398096,0.7870722433460074,1.1919554091563718,1.0,0.028849662807699544,1.595281881683871,0.20849808522442786,0.2527472527472527,0.373151534232641,0.5291848765878137
frozenset({'Goblin Cage'}),frozenset({'Tornado'}),0.1363046300302899,0.6603202077022934,0.1051492860233665,0.7714285714285715,1.1682643699681707,1.0,0.015144584410981224,1.4860990913024668,0.16675944481555718,0.15206508135168958,0.3270973612374887,0.46533420707732637
frozenset({'Goblin Gang'}),frozenset({'The Log'}),0.1856339247079186,0.5668541756815232,0.1047165729121592,0.5641025641025641,0.9951458211000195,1.0,-0.0005107924566739308,0.9936874793188586,-0.005954095841736407,0.16165664662658644,-0.00635262173723722,0.37441769426502247
frozenset({'Goblin Gang'}),frozenset({'Zap'}),0.1856339247079186,0.4859368238857637,0.1077455646906101,0.5804195804195804,1.1944342389578366,1.0,0.01753920491259514,1.225183903072263,0.19988988899274046,0.1910974673829624,0.18379600197782023,0.40107354800141976
frozenset({'Golem'}),frozenset({'Lightning'}),0.1449588922544353,0.2444829078321073,0.1003894418000865,0.6925373134328355,2.8326614714040406,1.0,0.06494947030560103,2.4572643288955707,0.7566596572665084,0.34730538922155674,0.5930433741943202,0.5515783912296921
frozenset({'Golem'}),frozenset({'Night Witch'}),0.1449588922544353,0.398096062310688,0.1315447858070099,0.9074626865671638,2.2795068137572994,1.0,0.07383722160359991,6.504445778255441,0.6564697421691881,0.319663512092534,0.8462589997532103,0.6189487345879296
frozenset({'Golem'}),frozenset({'Tornado'}),0.1449588922544353,0.6603202077022934,0.1276503678061445,0.8805970149253729,1.3335908921969442,1.0,0.031931081964401406,2.8448182604932875,0.2925530089892265,0.18837803320561933,0.6484836961688366,0.5369564366894231
frozenset({'Graveyard'}),frozenset({'Poison'}),0.2540025962786672,0.3734314149718736,0.1440934660320207,0.5672913117546846,1.5191311952086632,1.0,0.04924091709714844,1.4480148008327165,0.4580833733965981,0.298119964189794,0.30939932421621286,0.47657728971279995
frozenset({'Graveyard'}),frozenset({'Tornado'}),0.2540025962786672,0.6603202077022934,0.1934227607096495,0.7614991482112436,1.1532270848729909,1.0,0.02569971357799819,1.4242288434196702,0.17810798465666972,0.2683073229291717,0.2978656452435466,0.5272109109339311
frozenset({'Hog Rider'}),frozenset({'The Log'}),0.1440934660320207,0.5668541756815232,0.1055819991345737,0.7327327327327325,1.292630034614767,1.0,0.023902016225899048,1.6206467359331762,0.2644955162525483,0.1744102930664759,0.38296238296238244,0.4594961373587326
frozenset({'Ice Golem'}),frozenset({'Skeletons'}),0.2315015144958892,0.5097360450021635,0.1406317611423626,0.6074766355140186,1.191747457277502,1.0,0.02262709473121699,1.2490057901135356,0.20936417186417178,0.23414985590778098,0.19936319918172743,0.4416839883851927
frozenset({'Ice Golem'}),frozenset({'The Log'}),0.2315015144958892,0.5668541756815232,0.155776720034617,0.6728971962616821,1.1870728401227078,1.0,0.024549119866025537,1.3241886629164856,0.20506443943943914,0.24242424242424238,0.24482059996078648,0.47385317828351275
frozenset({'Ice Spirit'}),frozenset({'Skeletons'}),0.2466464733881436,0.5097360450021635,0.1800086542622241,0.7298245614035087,1.4317695767432164,1.0,0.05428405640362041,1.8146133399270568,0.4002949233420228,0.31231231231231227,0.4489184125361948,0.541482739105829
frozenset({'Ice Spirit'}),frozenset({'The Log'}),0.2466464733881436,0.5668541756815232,0.2003461704889658,0.812280701754386,1.4329623677514398,1.0,0.060533587131774924,2.3074123351545035,0.40106663953960087,0.32674664784756524,0.5666140876667194,0.5828579081291014
frozenset({'Ice Spirit'}),frozenset({'Tornado'}),0.2466464733881436,0.6603202077022934,0.1536131544785807,0.6228070175438598,0.9431893955071167,1.0,-0.009252496058116455,0.9005464260915946,-0.07403328988568741,0.2039058012636416,-0.11043692032629299,0.42772067784139256
frozenset({'Ice Wizard'}),frozenset({'The Log'}),0.1821722198182604,0.5668541756815232,0.1099091302466464,0.6033254156769595,1.0643397218545445,1.0,0.006644046749493163,1.0919424672938844,0.07391576052993354,0.17197020988490172,0.08420083479465872,0.3986092727239759
frozenset({'Ice Wizard'}),frozenset({'Tornado'}),0.1821722198182604,0.6603202077022934,0.1678926871484206,0.9216152019002379,1.3957095226680536,1.0,0.047600689120439035,4.333490683555613,0.3466726667757599,0.24887748556767164,0.76923914852414,0.5879373519330809
frozenset({'Ice Wizard'}),frozenset({'Valkyrie'}),0.1821722198182604,0.3942016443098226,0.1003894418000865,0.5510688836104514,1.3979365422873251,1.0,0.028576853200157806,1.3494238505056333,0.34806832694763734,0.21090909090909085,0.2589429928741094,0.4028670433419984
frozenset({'Lightning'}),frozenset({'Night Witch'}),0.2444829078321073,0.398096062310688,0.1475551709216789,0.6035398230088496,1.5160657945363603,1.0,0.05022748801145013,1.5181951999752736,0.4505497274037347,0.2980769230769231,0.3413231710808421,0.48709599846094653
frozenset({'Lightning'}),frozenset({'The Log'}),0.2444829078321073,0.5668541756815232,0.1233232366940718,0.5044247787610618,0.8898669188677968,1.0,-0.015262920493319176,0.8740263954997833,-0.14075545003237655,0.17924528301886788,-0.14413020607710908,0.3609910153347294
frozenset({'Lightning'}),frozenset({'Tornado'}),0.2444829078321073,0.6603202077022934,0.1821722198182604,0.7451327433628315,1.1284415268096355,1.0,0.020735215338902657,1.3327714072791943,0.1506544990517853,0.25209580838323337,0.24968378332675625,0.510508704577877
frozenset({'Lumberjack'}),frozenset({'Tornado'}),0.1804413673734314,0.6603202077022934,0.1155344006923409,0.6402877697841723,0.9696625399549295,1.0,-0.003614680489769137,0.9443098225876235,-0.03677121845018088,0.15930787589498793,-0.05897447646978053,0.40762750219221716
frozenset({'P.E.K.K.A'}),frozenset({'Magic Archer'}),0.2094331458243185,0.38035482475119,0.1168325400259627,0.5578512396694211,1.4666600851831992,1.0,0.03717363254886363,1.4014404898150643,0.40246913580246846,0.24702653247941422,0.2864484740754414,0.43250923758215065
frozenset({'Magic Archer'}),frozenset({'Skeletons'}),0.38035482475119,0.5097360450021635,0.2431847684984855,0.6393629124004551,1.2543019444460541,1.0,0.04930420443232292,1.3594385376753888,0.3271933835662738,0.3759197324414716,0.26440219819722127,0.5582213543326554
